year,conflictid,actor,actorid,actor_type,type,incomp,region,location,gwnoloc,gwnoloc2,conflictyear,interm,postc,state_prev,ai_prev,hrw_prev,form
1995,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1995,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1995,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1995,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1995,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1995,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1995,209,"Military Faction (forces of Honasan, Abenina & Zumel)",170,3,3,2,3,Philippines,840,0,0,0,1,0,0,-99,-99
1995,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1995,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1996,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1996,209,CPP,169,3,3,2,3,Philippines,840,0,0,1,0,0,0,-99,-99
1996,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1996,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,0,1,0,0,0,-99,-99
1996,209,El Tigre,8142,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1996,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1996,209,Greenans,8145,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1996,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1996,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1996,209,Philippines,154,1,3,2,3,Philippines,840,0,0,1,0,0,0,-99,-99
1997,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1997,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1997,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1997,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1997,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1997,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1997,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1997,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1997,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1997,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1998,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1998,209,CPP,169,3,3,2,3,Philippines,840,0,0,1,0,0,0,-99,-99
1998,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1998,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,0,1,0,0,0,-99,-99
1998,209,El Tigre,8142,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1998,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1998,209,Greenans,8145,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1998,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1998,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,0,1,0,0,0,0,-99
1998,209,Philippines,154,1,3,2,3,Philippines,840,0,0,1,0,1,0,-99,1
1999,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1999,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1999,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1999,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
1999,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1999,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1999,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1999,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1999,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
1999,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2000,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2000,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2000,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2000,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2000,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2000,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2000,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2000,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2000,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2000,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2001,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2001,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2001,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2001,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2001,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2001,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2001,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2001,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2001,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2001,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2002,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2002,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2002,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2002,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2002,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2002,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2002,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2002,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2002,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2002,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2003,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2003,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2003,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2003,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2003,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2003,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2003,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2003,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2003,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2003,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2004,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2004,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2004,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2004,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2004,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2004,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2004,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2004,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2004,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2004,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2005,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2005,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2005,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2005,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,-99,-99
2005,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2005,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2005,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2005,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2005,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2005,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,1,-99,7
2006,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2006,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2007,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2008,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,Alsa Masa/225 anti-Communist vigilante groups,8128,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,Citizens Against Communism Army,8136,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,Civilian Armed Forces Geographical Units,8137,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,El Tigre,8142,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,Forward Command-FC's,8143,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,Greenans,8145,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,Manila Crusaders for Peace and Democracy,8155,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,National Alliance for Democracy,8159,6,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2009,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2010,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2010,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2011,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2011,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2012,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2012,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2013,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,-99,0,-99
2013,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,-99,0,-99
2014,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2014,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2015,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2015,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2016,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2016,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2017,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2017,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,0,0,-99
2018,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,-99,0,-99
2018,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,-99,0,-99
2019,209,CPP,169,3,3,2,3,Philippines,840,0,1,0,0,0,-99,0,-99
2019,209,Philippines,154,1,3,2,3,Philippines,840,0,1,0,0,0,-99,0,-99
1989,218,India,141,1,2,1,3,"India, Pakistan",750,770,1,0,0,0,0,-99,-99
1989,218,Pakistan,142,5,2,1,3,"India, Pakistan",750,770,1,0,0,0,0,-99,-99
